segment_id,street_id,street_name,street_type,velocity,max_velocity,s_node_id,s_long,s_lat,e_node_id,e_long,e_lat,slow_traffic
175,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4639027499,106.6516988,10.7862517,4639027501,106.6522962,10.7864133,0
176,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4639027501,106.6522962,10.7864133,4639027499,106.6516988,10.7862517,0
177,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4639027501,106.6522962,10.7864133,5772608672,106.652518,10.7864733,0
178,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,5772608672,106.652518,10.7864733,4639027501,106.6522962,10.7864133,0
179,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,5772608672,106.652518,10.7864733,366430703,106.6529364,10.7865865,0
180,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,366430703,106.6529364,10.7865865,5772608672,106.652518,10.7864733,0
181,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,366430703,106.6529364,10.7865865,5772608671,106.6530256,10.7866106,0
182,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,5772608671,106.6530256,10.7866106,366430703,106.6529364,10.7865865,0
183,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,5772608671,106.6530256,10.7866106,3011828036,106.65349,10.7867363,0
184,32575943,Lê Minh Xuân,tertiary,8.5,47.91718170580964,3011828036,106.65349,10.7867363,5772608671,106.6530256,10.7866106,1
207,32575966,Lê Văn Lương,secondary,17.26086956521739,47.519646365422396,366422378,106.7024735,10.6893503,5802629829,106.7025394,10.6897893,1
208,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629829,106.7025394,10.6897893,366422378,106.7024735,10.6893503,0
209,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629829,106.7025394,10.6897893,366433066,106.7025664,10.6899692,0
210,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366433066,106.7025664,10.6899692,5802629829,106.7025394,10.6897893,0
211,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366433066,106.7025664,10.6899692,5802629803,106.7025833,10.6900823,0
212,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629803,106.7025833,10.6900823,366433066,106.7025664,10.6899692,0
213,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629803,106.7025833,10.6900823,366458143,106.7026243,10.6903555,0
214,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366458143,106.7026243,10.6903555,5802629803,106.7025833,10.6900823,0
215,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366458143,106.7026243,10.6903555,366393555,106.7026703,10.6905682,0
216,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366393555,106.7026703,10.6905682,366458143,106.7026243,10.6903555,0
217,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366393555,106.7026703,10.6905682,5802629840,106.7027619,10.690876,0
218,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629840,106.7027619,10.690876,366393555,106.7026703,10.6905682,0
219,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629840,106.7027619,10.690876,366402184,106.7028299,10.6910959,0
220,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366402184,106.7028299,10.6910959,5802629840,106.7027619,10.690876,0
221,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366402184,106.7028299,10.6910959,5802629852,106.7029765,10.6914295,0
222,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629852,106.7029765,10.6914295,366402184,106.7028299,10.6910959,0
223,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,5802629852,106.7029765,10.6914295,366468672,106.7031126,10.6917258,0
224,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366468672,106.7031126,10.6917258,5802629852,106.7029765,10.6914295,0
225,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366468672,106.7031126,10.6917258,366371573,106.7033887,10.6922875,0
226,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366371573,106.7033887,10.6922875,366468672,106.7031126,10.6917258,0
227,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366371573,106.7033887,10.6922875,366445679,106.7035765,10.6926291,0
228,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366445679,106.7035765,10.6926291,366371573,106.7033887,10.6922875,0
229,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366445679,106.7035765,10.6926291,366388871,106.7038857,10.6931288,0
230,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366388871,106.7038857,10.6931288,366445679,106.7035765,10.6926291,0
231,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366388871,106.7038857,10.6931288,3702562245,106.7042373,10.6936915,0
232,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562245,106.7042373,10.6936915,366388871,106.7038857,10.6931288,0
233,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562245,106.7042373,10.6936915,366441227,106.7043428,10.6938666,0
234,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366441227,106.7043428,10.6938666,3702562245,106.7042373,10.6936915,0
235,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366441227,106.7043428,10.6938666,3702562253,106.7044763,10.6941273,0
236,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562253,106.7044763,10.6941273,366441227,106.7043428,10.6938666,0
237,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562253,106.7044763,10.6941273,366397907,106.7045692,10.6943631,0
238,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366397907,106.7045692,10.6943631,3702562253,106.7044763,10.6941273,0
239,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366397907,106.7045692,10.6943631,366440080,106.7048105,10.6949914,0
240,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366440080,106.7048105,10.6949914,366397907,106.7045692,10.6943631,0
241,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366440080,106.7048105,10.6949914,366397092,106.7048717,10.6952578,0
242,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366397092,106.7048717,10.6952578,366440080,106.7048105,10.6949914,0
243,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,366397092,106.7048717,10.6952578,3702562261,106.7048807,10.6953284,0
244,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562261,106.7048807,10.6953284,366397092,106.7048717,10.6952578,0
245,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562261,106.7048807,10.6953284,3702562266,106.704874,10.6953986,0
246,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562266,106.704874,10.6953986,3702562261,106.7048807,10.6953284,0
247,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562266,106.704874,10.6953986,2153156491,106.7048639,10.6954954,0
248,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,2153156491,106.7048639,10.6954954,3702562266,106.704874,10.6953986,0
249,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,2153156491,106.7048639,10.6954954,3702562272,106.7047924,10.6960098,0
250,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562272,106.7047924,10.6960098,2153156491,106.7048639,10.6954954,0
251,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562272,106.7047924,10.6960098,3702562273,106.7047886,10.6960367,0
252,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562273,106.7047886,10.6960367,3702562272,106.7047924,10.6960098,0
253,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,3702562273,106.7047886,10.6960367,373515972,106.7047407,10.6964991,0
254,32575966,Lê Văn Lương,secondary,30.220108695652172,47.519646365422396,373515972,106.7047407,10.6964991,3702562273,106.7047886,10.6960367,0
289,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,2380787693,106.6927834,10.7579364,571360922,106.692835,10.7578565,0
290,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,571360922,106.692835,10.7578565,2380787693,106.6927834,10.7579364,0
291,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,571360922,106.692835,10.7578565,2027430774,106.6933998,10.7568286,0
292,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,2027430774,106.6933998,10.7568286,571360922,106.692835,10.7578565,0
293,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,2027430774,106.6933998,10.7568286,1588330159,106.6934717,10.7566928,0
294,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1588330159,106.6934717,10.7566928,2027430774,106.6933998,10.7568286,0
295,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1588330159,106.6934717,10.7566928,1767169484,106.6937643,10.7561854,0
296,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1767169484,106.6937643,10.7561854,1588330159,106.6934717,10.7566928,0
297,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1767169484,106.6937643,10.7561854,1779408275,106.6939259,10.7558779,0
298,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,1779408275,106.6939259,10.7558779,1767169484,106.6937643,10.7561854,0
299,32575985,Nguyễn Khoái,tertiary,11.0,47.91718170580964,1779408275,106.6939259,10.7558779,2027431006,106.6939906,10.7557574,1
300,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,2027431006,106.6939906,10.7557574,1779408275,106.6939259,10.7558779,0
301,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,2027431006,106.6939906,10.7557574,5811504011,106.6940222,10.7556986,0
302,32575985,Nguyễn Khoái,tertiary,35.25,47.91718170580964,5811504011,106.6940222,10.7556986,2027431006,106.6939906,10.7557574,0
